Overall Rank*,City,Total Score,'Socioeconomic Diversity' Rank,'Cultural Diversity' Rank,'Economic Diversity' Rank,'Household Diversity' Rank,'Religious Diversity' Rank
475,"Saco, ME",57.81,162,455,351,262,469
396,"Manhattan, KS",61.06,163,324,362,474,427
289,"Sioux Falls, SD",63.78,164,388,404,319,61
288,"East Providence, RI",63.78,165,286,345,129,316
137,"Lafayette, LA",66.34,166,277,142,189,55
255,"Pierre, SD",64.2,167,426,32,453,8
100,"Aurora, CO",67.11,168,38,118,112,449
108,"Little Rock, AR",66.93,169,210,207,220,74
215,"Summerville, SC",64.85,170,300,100,315,185
381,"Iowa City, IA",61.49,171,249,488,456,416
39,"Kent, WA",69.14,172,10,95,162,374
378,"Brookings, SD",61.56,173,448,211,476,95
156,"Columbia, SC",66.07,174,200,154,420,146
138,"Pearl City, HI",66.34,175,136,2,426,349
275,"Dearborn, MI",63.96,176,293,374,325,247
432,"Westerly, RI",60.03,177,438,396,289,361
440,"Corvallis, OR",59.63,178,262,454,436,492
48,"Oklahoma City, OK",68.65,179,117,55,175,112
476,"Middlebury, VT",57.77,180,370,492,469,480
497,"Keene, NH",55.89,181,469,360,314,497
114,"Rio Rancho, NM",66.78,182,140,93,312,271
226,"Springfield, IL",64.65,183,381,152,229,41
301,"Lincoln, NE",63.45,184,375,131,327,191
81,"Tampa, FL",67.59,185,61,303,168,336
402,"Meridian, ID",60.96,186,430,148,472,267
274,"Bristol, CT",63.97,187,336,197,170,218
140,"Joliet, IL",66.32,188,131,165,211,332
439,"Georgetown, KY",59.65,189,437,294,363,399
244,"Reno, NV",64.43,190,112,123,139,467
300,"Manchester, NH",63.51,191,283,232,82,368
417,"Charleston, WV",60.59,192,413,231,225,400
49,"Hobbs, NM",68.59,193,95,41,231,173
75,"Albuquerque, NM",67.96,194,93,151,142,239
203,"Columbus, OH",65.02,195,186,249,207,330
318,"Appleton, WI",63.06,196,405,420,311,58
317,"Fargo, ND",63.12,197,402,301,400,62
163,"Mililani Town, HI",65.85,197,133,10,460,349
470,"Layton, UT",58.26,199,354,63,489,496
54,"Springdale, AR",68.43,200,59,361,300,187
344,"Kearney, NE",62.51,201,453,335,330,26
53,"Federal Way, WA",68.43,202,28,87,156,374
52,"Richmond, VA",68.48,203,206,279,399,1
260,"Olive Branch, MS",64.16,204,298,128,336,244
57,"San Antonio, TX",68.41,205,126,132,36,102
194,"Glen Burnie, MD",65.16,206,193,76,18,385
259,"Rock Springs, WY",64.17,207,334,64,383,167
123,"Kansas City, MO",66.61,208,181,209,201,140
352,"Ames, IA",62.34,209,347,442,491,157
217,"Waldorf, MD",64.8,210,183,40,156,409
426,"Mandan, ND",60.31,211,484,78,415,210
37,"Waukegan, IL",69.24,212,65,338,63,114
152,"Peoria, IL",66.17,213,221,469,248,28
258,"St. Petersburg, FL",64.18,214,187,299,193,405
361,"Dickinson, ND",62.2,215,418,54,406,199
169,"Tacoma, WA",65.6,216,126,83,124,415
332,"Auburn, AL",62.79,217,240,441,447,339
155,"Tallahassee, FL",66.11,218,171,195,413,179
383,"Winooski, VT",61.35,219,328,380,438,401
305,"Surprise, AZ",63.34,220,215,260,478,340
313,"Cheyenne, WY",63.22,221,352,14,263,326
363,"Cedar Rapids, IA",62.13,222,434,383,310,82
117,"Greensboro, NC",66.76,223,155,230,169,184
254,"Bellevue, NE",64.21,224,244,96,264,324
74,"Kenner, LA",68.01,225,103,107,133,192
255,"Sparks, NV",64.2,226,109,137,196,467
321,"Minot, ND",62.95,227,423,53,397,85
420,"Billings, MT",60.55,228,436,130,273,338
62,"Corpus Christi, TX",68.25,229,159,42,44,67
99,"Las Vegas, NV",67.14,230,35,368,35,418
199,"Baltimore, MD",65.08,231,265,310,267,123
154,"Goose Creek, SC",66.14,231,224,17,337,148
477,"Missoula, MT",57.77,233,444,167,346,475
264,"Wilmington, NC",64.12,234,303,267,285,194
86,"Worcester, MA",67.44,235,77,377,122,286
198,"Salem, OR",65.08,236,192,29,137,372
248,"Southaven, MS",64.29,236,289,183,186,244
347,"West Jordan, UT",62.41,238,291,134,439,390
450,"Eugene, OR",59.29,239,329,227,232,494
353,"Vancouver, WA",62.33,240,201,104,147,486
42,"Lynn, MA",68.96,241,22,229,9,307
298,"Fayetteville, AR",63.54,242,338,388,427,117
98,"Montgomery, AL",67.15,243,305,39,37,5
261,"Fairbanks, AK",64.13,244,115,36,216,477
179,"Mesa, AZ",65.43,245,154,156,222,340
78,"North Las Vegas, NV",67.83,246,14,208,84,418
364,"Conway, AR",62.12,247,364,243,274,323
362,"Florence, KY",62.14,248,412,220,98,223
130,"Wichita, KS",66.51,248,185,252,255,104
150,"Waipahu, HI",66.18,250,124,166,38,349
271,"Pittsburgh, PA",63.99,251,267,484,431,100
79,"Ewa Gentry, HI",67.68,252,49,25,398,349
359,"Grand Forks, ND",62.27,253,417,251,388,113
253,"Dover, DE",64.24,254,143,188,174,444
395,"Johnson City, TN",61.07,255,410,431,233,285
500,"Provo, UT",54.12,255,242,491,470,500
141,"Grand Rapids, MI",66.27,257,199,422,177,70
183,"Louisville, KY",65.35,258,304,242,108,57
95,"High Point, NC",67.22,258,107,327,80,222
68,"Orlando, FL",68.15,260,26,430,166,296
45,"Lowell, MA",68.88,261,29,317,21,281
460,"St. George, UT",58.83,262,362,287,462,473
278,"Union City, NJ",63.93,263,339,179,1,257
232,"Albany, NY",64.6,263,164,212,486,289
80,"Jacksonville, FL",67.67,265,151,199,87,83
116,"West Valley City, UT",66.76,266,70,106,281,390
83,"Tulsa, OK",67.55,267,135,204,136,124
109,"Bethlehem, PA",66.91,268,145,437,110,121
213,"El Paso, TX",64.93,269,250,37,119,276
72,"Hilo, HI",68.07,270,152,7,159,105
197,"Indianapolis, IN",65.09,271,196,261,167,280
102,"Winston-Salem, NC",67.08,272,137,406,179,122
469,"Derry, NH",58.27,273,474,297,187,429
371,"Rapid City, SD",61.93,274,385,125,308,306
342,"Moore, OK",62.63,275,327,34,359,364
70,"Kahului, HI",68.1,276,75,124,78,255
438,"Duluth, MN",59.67,277,475,444,329,205
272,"Taylorsville, UT",63.98,278,197,143,302,390
97,"Spring Valley, NV",67.16,279,5,495,31,418
77,"Providence, RI",67.88,280,13,466,178,316
373,"Idaho Falls, ID",61.91,281,379,84,304,331
122,"New Haven, CT",66.61,282,32,496,402,299
136,"Brookside, DE",66.35,283,149,344,46,228
283,"Tupelo, MS",63.86,284,317,402,58,175
315,"Williston, ND",63.15,285,419,82,317,56
411,"Casper, WY",60.67,286,415,51,265,395
325,"Elizabethtown, KY",62.92,287,343,114,123,312
168,"Bossier City, LA",65.66,288,234,62,115,177
418,"Sheridan, WY",60.59,289,447,91,410,261
185,"Newport News, VA",65.32,290,156,61,78,387
88,"Las Cruces, NM",67.32,291,101,119,83,264
191,"Des Moines, IA",65.22,292,218,175,81,238
118,"Farmington, NM",66.74,293,102,73,197,313
491,"Laconia, NH",56.73,294,496,238,172,452
90,"Glendale, AZ",67.28,295,71,149,28,340
480,"Brattleboro, VT",57.63,296,445,355,158,462
252,"Columbus, NE",64.25,297,310,438,401,42
113,"Brockton, MA",66.79,298,54,366,4,408
201,"New Orleans, LA",65.02,299,266,280,349,81
285,"Tuscaloosa, AL",63.85,300,273,332,318,217
452,"Dubuque, IA",59.2,301,473,336,316,305
